Date,Actual,Predicted,Weight,Error,Absolute_Error,Error_Percentage,Expected_Demand,Safety_Stock,Recommended_Inventory,Demand_Alert,Error_Alert,Business_Alert
2012-07-06,51253021.88,46883786.216994,1,4369235.663006,4369235.663006,8.524835224810358,46883786.216994,4688378.6216994,51572164.8386934,HIGH DEMAND,ALERT,FORECAST ERROR
2012-07-13,46099732.1,46289282.52512047,1,-189550.42512046546,189550.42512046546,0.4111746782156798,46289282.52512047,4628928.252512047,50918210.77763251,NORMAL,NORMAL,NORMAL
2012-07-20,46059543.45,46413490.83325868,1,-353947.383258678,353947.383258678,0.7684561260206716,46413490.83325868,4641349.0833258685,51054839.91658455,NORMAL,NORMAL,NORMAL
2012-07-27,44097154.97,46690781.17440379,1,-2593626.204403788,2593626.204403788,5.88161800045439,46690781.17440379,4669078.117440379,51359859.29184417,HIGH DEMAND,NORMAL,HIGH DEMAND
2012-08-03,47485899.56,46626854.30438366,1,859045.2556163445,859045.2556163445,1.8090533475751311,46626854.30438366,4662685.430438366,51289539.73482202,NORMAL,NORMAL,NORMAL
2012-08-10,47403451.04,46567555.91865149,1,835895.1213485077,835895.1213485077,1.7633634324285004,46567555.91865149,4656755.591865149,51224311.51051664,NORMAL,NORMAL,NORMAL
2012-08-17,47354452.05,47134837.63596735,1,219614.41403264552,219614.41403264552,0.46376719511137404,47134837.63596735,4713483.763596735,51848321.39956409,HIGH DEMAND,NORMAL,HIGH DEMAND
2012-08-24,47447323.6,48032926.11885867,1,-585602.5188586712,585602.5188586712,1.2342161252245452,48032926.11885867,4803292.611885867,52836218.73074454,HIGH DEMAND,NORMAL,HIGH DEMAND
2012-08-31,47159639.43,48000182.59283181,1,-840543.1628318131,840543.1628318131,1.7823358553863589,48000182.59283181,4800018.259283181,52800200.85211499,HIGH DEMAND,NORMAL,HIGH DEMAND
2012-09-07,48330059.31,46291727.129293606,5,2038332.1807063967,2038332.1807063967,4.2175246829971185,46291727.129293606,4629172.712929361,50920899.842222966,NORMAL,NORMAL,NORMAL
2012-09-14,44226038.65,43905934.319486015,1,320104.33051398396,320104.33051398396,0.7237915496959934,43905934.319486015,4390593.431948601,48296527.75143462,NORMAL,NORMAL,NORMAL
2012-09-21,44354547.11,42782131.080309644,1,1572416.029690355,1572416.029690355,3.5451067188009784,42782131.080309644,4278213.108030965,47060344.18834061,NORMAL,NORMAL,NORMAL
2012-09-28,43734899.4,43668768.450751305,1,66130.94924869388,66130.94924869388,0.15120864608343854,43668768.450751305,4366876.84507513,48035645.295826435,NORMAL,NORMAL,NORMAL
2012-10-05,47566639.31,45226039.67430636,1,2340599.6356936395,2340599.6356936395,4.920674804119642,45226039.67430636,4522603.967430636,49748643.641737,NORMAL,NORMAL,NORMAL
2012-10-12,46128514.25,45614132.63821231,1,514381.6117876917,514381.6117876917,1.115105526702915,45614132.63821231,4561413.263821231,50175545.90203354,NORMAL,NORMAL,NORMAL
2012-10-19,45122410.57,44746138.7528294,1,376271.8171705976,376271.8171705976,0.8338912137392877,44746138.7528294,4474613.87528294,49220752.628112346,NORMAL,NORMAL,NORMAL
2012-10-26,45544116.29,44419710.66929394,1,1124405.620706059,1124405.620706059,2.4688273970373245,44419710.66929394,4441971.066929394,48861681.73622333,NORMAL,NORMAL,NORMAL
